,stock_code,maximum_drawdown,maximum_drawdown_percentage,rate,gain,stop,annualized_returns
98,WDO,-19555.967499999388,-38.227118643735295,39.57446808510638,0.6000000000000001,0.20000000000000004,17.902776242117334
99,WIN,-19469.457600000045,-30.174435506676893,39.377537212449255,0.6000000000000001,0.20000000000000004,16.162991481779756
100,PETR4,-35977.27859300001,-53.14902986281324,37.51705320600273,0.6500000000000001,0.20000000000000004,13.274715822133153
101,VALE3,-31438.08834600015,-52.85487817644427,38.90489913544668,0.6500000000000001,0.20000000000000004,29.22755858264603
102,WDO,-19639.099999999526,-38.38962228568785,39.11174785100287,0.6500000000000001,0.20000000000000004,20.343642762136007
103,WIN,-19186.478600000046,-31.170434762944048,38.76712328767123,0.6500000000000001,0.20000000000000004,17.22870640078529
104,PETR4,-35977.27859300001,-50.830335608128486,37.551581843191194,0.7000000000000002,0.20000000000000004,15.882617633564312
105,VALE3,-30609.18247500014,-50.1422780550003,38.69565217391304,0.7000000000000002,0.20000000000000004,33.80784859466333
106,WDO,-19372.767499999783,-30.28759375913558,38.76080691642652,0.7000000000000002,0.20000000000000004,20.554647543067173
107,WIN,-18119.449600000153,-26.43716022256099,38.376891334250345,0.7000000000000002,0.20000000000000004,20.199507749067536
108,PETR4,-35977.27859300001,-48.70331587968188,37.396121883656505,0.7500000000000002,0.20000000000000004,19.58718370591248
109,VALE3,-29236.26459100016,-48.85939266334912,38.30409356725146,0.7500000000000002,0.20000000000000004,33.09587125094555
110,WDO,-18197.714999999735,-29.912124371948583,38.63965267727931,0.7500000000000002,0.20000000000000004,21.452983848939944
111,WIN,-18392.85270000007,-30.218293952380087,38.12154696132597,0.7500000000000002,0.20000000000000004,19.8511912253869
112,PETR4,-35977.278592999995,-44.78611979884872,36.95955369595537,0.8000000000000003,0.20000000000000004,21.567946986445243
113,VALE3,-33045.864123000196,-51.56704766478754,38.200589970501476,0.8000000000000003,0.20000000000000004,31.229422337748638
114,WDO,-19710.379999999626,-30.9584990626335,38.24817518248175,0.8000000000000003,0.20000000000000004,19.343666706885898
115,WIN,-17062.91180000003,-26.050161039195093,38.05555555555556,0.8000000000000003,0.20000000000000004,25.4058030688602
116,PETR4,-35977.278592999995,-44.46601946541844,36.92307692307693,0.8500000000000003,0.20000000000000004,24.353487221512403
117,VALE3,-32729.30214200022,-51.783608386644865,38.05309734513274,0.8500000000000003,0.20000000000000004,30.888375517679954
118,WDO,-19610.53999999963,-29.855965229416558,38.15789473684211,0.8500000000000003,0.20000000000000004,19.5248793219001
119,WIN,-18754.94300000003,-25.339711869476705,38.38664812239222,0.8500000000000003,0.20000000000000004,28.370913227099702
120,PETR4,-35977.278592999995,-43.80415068775116,37.04225352112676,0.9000000000000004,0.20000000000000004,30.36725094097388
121,VALE3,-37688.763873000134,-59.35581272600259,38.074074074074076,0.9000000000000004,0.20000000000000004,29.176558223563486
122,WDO,-18810.69499999963,-28.850698450225448,37.976539589442815,0.9000000000000004,0.20000000000000004,21.0062812109439
123,WIN,-21113.669200000048,-31.319234271215162,38.14866760168303,0.9000000000000004,0.20000000000000004,24.97153753076922
124,PETR4,-38032.605423000045,-56.548712321631655,36.737588652482266,0.9500000000000004,0.20000000000000004,22.682156351026485
125,VALE3,-37426.69837400014,-59.15574247564454,37.85394932935917,0.9500000000000004,0.20000000000000004,33.00269569232748
126,WDO,-22324.877499999624,-29.32130484825381,37.64705882352941,0.9500000000000004,0.20000000000000004,19.55703707120675
127,WIN,-21063.651000000085,-27.54668377087728,37.78089887640449,0.9500000000000004,0.20000000000000004,24.732940207167452
128,PETR4,-35977.27859300001,-50.02665733927106,36.55761024182077,1.0000000000000004,0.20000000000000004,27.069877117783413
129,VALE3,-38625.401165000105,-61.098933358153076,37.87425149700599,1.0000000000000004,0.20000000000000004,34.40494327929022
130,WDO,-23543.634999999602,-29.290652344325242,37.370753323485964,1.0000000000000004,0.20000000000000004,17.953390039121196
131,WIN,-20811.62580000008,-27.485494836766026,37.65867418899859,1.0000000000000004,0.20000000000000004,25.24166422906109
132,PETR4,-37575.873365000014,-49.67515622182337,41.777188328912466,0.5,0.25000000000000006,14.520140560023043
133,VALE3,-26420.632100000024,-45.71161887296742,44.19580419580419,0.5,0.25000000000000006,31.161225700829064
134,WDO,-21329.0024999999,-30.351737109170173,42.62068965517241,0.5,0.25000000000000006,18.849338946979866
135,WIN,-18692.105300000418,-24.345482253725084,42.395693135935396,0.5,0.25000000000000006,22.21337770303389
136,PETR4,-37697.82951799999,-50.419055353770325,41.47651006711409,0.55,0.25000000000000006,12.41332651346243
137,VALE3,-24897.746027999965,-42.33390901585521,43.66998577524893,0.55,0.25000000000000006,33.60053949008683
138,WDO,-19346.169999999882,-35.0083956687646,42.05344585091421,0.55,0.25000000000000006,14.675123149362834
139,WIN,-17773.550400000226,-26.929925082430945,42.255434782608695,0.55,0.25000000000000006,21.12266973602679
140,PETR4,-37575.873365000014,-48.249739256598076,41.03260869565217,0.6000000000000001,0.25000000000000006,17.48080927172566
141,VALE3,-32057.887949000047,-53.40323148012565,42.380261248185775,0.6000000000000001,0.25000000000000006,29.259218045261058
142,WDO,-21813.667499999356,-42.62817324725627,41.36947218259629,0.6000000000000001,0.25000000000000006,14.564071667961453
143,WIN,-23332.86450000006,-37.12394337134616,41.793103448275865,0.6000000000000001,0.25000000000000006,21.11992084776255
144,PETR4,-38667.587518999986,-47.12661188170307,40.24725274725275,0.6500000000000001,0.25000000000000006,16.086220753170522
145,VALE3,-31701.181494000084,-53.71773783632256,41.85022026431718,0.6500000000000001,0.25000000000000006,31.113883814459008
146,WDO,-22396.86999999947,-43.66120118710632,40.83694083694084,0.6500000000000001,0.25000000000000006,16.203171562250173
